scenario_id,mode,route_id,oracle_exposure_index,predicted_exposure_index,oracle_rank,predicted_rank,rank_shift
s2_to_s6,motorbike,motorbike-1,680.4476757406821,451.72139760644643,1,1,0
s2_to_s6,motorbike,motorbike-2,680.5830845741765,451.78931371121087,4,2,-2
s2_to_s6,motorbike,motorbike-3,680.5399824175437,451.80068947146094,2,4,2
s2_to_s6,motorbike,motorbike-4,680.5678337712907,451.8006443457294,3,3,0
s2_to_s6,motorbike,motorbike-5,680.6141930313399,451.80320125389073,5,5,0
s2_to_s6,walking,walking-1,3063.996477799815,2127.5893657444562,1,1,0
s2_to_s6,walking,walking-2,3064.236492981468,2127.8121586114576,2,2,0
s2_to_s6,walking,walking-3,3064.597267952858,2127.9855994408713,3,3,0
s2_to_s6,walking,walking-4,3064.8372831345114,2128.2083923078726,4,5,1
s2_to_s6,walking,walking-5,3064.865637874905,2128.2046630960417,5,4,-1
s6_to_s5,motorbike,motorbike-1,254.41340059617195,216.59773407629527,1,1,0
s6_to_s5,motorbike,motorbike-2,254.66426020247815,216.80121244233973,2,2,0
s6_to_s5,motorbike,motorbike-3,255.0090098095026,217.07425917404962,3,3,0
s6_to_s5,motorbike,motorbike-4,255.2598694158088,217.27773754009408,4,4,0
s6_to_s5,motorbike,motorbike-5,256.7822891849344,218.1828641019093,5,5,0
s6_to_s5,walking,walking-1,1283.4821369651036,1090.5502306876583,1,1,0
s6_to_s5,walking,walking-2,1283.572005867536,1090.633077260534,2,2,0
s6_to_s5,walking,walking-3,1283.9114459246732,1090.914320509546,3,3,0
s6_to_s5,walking,walking-4,1284.0013148271057,1090.9971670824218,4,4,0
s6_to_s5,walking,walking-5,1286.7487868079083,1092.4805352147384,5,5,0
