perturbation_scale,departure_time,scenario_id,mode,delta_time_allowed_minutes,route_id,rank,route_type,travel_time_minutes,predicted_exposure_index,oracle_exposure_index,available_feasible_alternatives,fewer_than_requested_alternatives
0.8,2022-02-27T06:00:00,od_01,motorbike,0.0,motorbike-1,0,fastest,8.230305959783891,175.05679817993473,255.8722659604621,0,True
0.8,2022-02-27T06:00:00,od_01,motorbike,1.0,motorbike-1,0,fastest,8.230305959783891,175.05679817993473,255.8722659604621,1,True
0.8,2022-02-27T06:00:00,od_01,motorbike,1.0,motorbike-2,1,AIRPATH alternative,8.92930841311684,192.04410252588906,280.8890254447325,1,True
0.8,2022-02-27T06:00:00,od_01,motorbike,2.0,motorbike-1,0,fastest,8.230305959783891,175.05679817993473,255.8722659604621,1,True
0.8,2022-02-27T06:00:00,od_01,motorbike,2.0,motorbike-2,1,AIRPATH alternative,8.92930841311684,192.04410252588906,280.8890254447325,1,True
0.8,2022-02-27T06:00:00,od_01,motorbike,3.0,motorbike-1,0,fastest,8.230305959783891,175.05679817993473,255.8722659604621,2,True
0.8,2022-02-27T06:00:00,od_01,motorbike,3.0,motorbike-2,1,AIRPATH alternative,8.92930841311684,192.04410252588906,280.8890254447325,2,True
0.8,2022-02-27T06:00:00,od_01,motorbike,3.0,motorbike-3,2,AIRPATH alternative,10.483228146866388,220.10228419982792,321.5137054659457,2,True
0.8,2022-02-27T06:00:00,od_01,motorbike,5.0,motorbike-1,0,fastest,8.230305959783891,175.05679817993473,255.8722659604621,5,False
0.8,2022-02-27T06:00:00,od_01,motorbike,5.0,motorbike-2,1,AIRPATH alternative,8.92930841311684,192.04410252588906,280.8890254447325,5,False
0.8,2022-02-27T06:00:00,od_01,motorbike,5.0,motorbike-3,2,AIRPATH alternative,10.483228146866388,220.10228419982792,321.5137054659457,5,False
0.8,2022-02-27T06:00:00,od_01,motorbike,5.0,motorbike-5,3,AIRPATH alternative,11.71986992059877,244.5141549785482,356.99143006292314,5,False
0.8,2022-02-27T06:00:00,od_01,motorbike,10.0,motorbike-1,0,fastest,8.230305959783891,175.05679817993473,255.8722659604621,6,False
0.8,2022-02-27T06:00:00,od_01,motorbike,10.0,motorbike-2,1,AIRPATH alternative,8.92930841311684,192.04410252588906,280.8890254447325,6,False
0.8,2022-02-27T06:00:00,od_01,motorbike,10.0,motorbike-3,2,AIRPATH alternative,10.483228146866388,220.10228419982792,321.5137054659457,6,False
0.8,2022-02-27T06:00:00,od_01,motorbike,10.0,motorbike-5,3,AIRPATH alternative,11.71986992059877,244.5141549785482,356.99143006292314,6,False
0.8,2022-02-27T06:00:00,od_01,walking,0.0,walking-1,0,fastest,40.00596776846269,850.5009486351621,1243.519308231538,0,True
0.8,2022-02-27T06:00:00,od_01,walking,1.0,walking-1,0,fastest,40.00596776846269,850.5009486351621,1243.519308231538,2,True
0.8,2022-02-27T06:00:00,od_01,walking,1.0,walking-7,1,AIRPATH alternative,40.01852674613926,850.7671938875545,1243.9078305164871,2,True
0.8,2022-02-27T06:00:00,od_01,walking,1.0,walking-8,2,AIRPATH alternative,40.04640202946059,851.3620059846912,1244.7647319962605,2,True
0.8,2022-02-27T06:00:00,od_01,walking,2.0,walking-1,0,fastest,40.00596776846269,850.5009486351621,1243.519308231538,3,False
0.8,2022-02-27T06:00:00,od_01,walking,2.0,walking-7,1,AIRPATH alternative,40.01852674613926,850.7671938875545,1243.9078305164871,3,False
0.8,2022-02-27T06:00:00,od_01,walking,2.0,walking-8,2,AIRPATH alternative,40.04640202946059,851.3620059846912,1244.7647319962605,3,False
0.8,2022-02-27T06:00:00,od_01,walking,2.0,walking-2,3,AIRPATH alternative,41.55388342954054,888.2822328920138,1299.263779209978,3,False
0.8,2022-02-27T06:00:00,od_01,walking,3.0,walking-1,0,fastest,40.00596776846269,850.5009486351621,1243.519308231538,3,False
0.8,2022-02-27T06:00:00,od_01,walking,3.0,walking-7,1,AIRPATH alternative,40.01852674613926,850.7671938875545,1243.9078305164871,3,False
0.8,2022-02-27T06:00:00,od_01,walking,3.0,walking-8,2,AIRPATH alternative,40.04640202946059,851.3620059846912,1244.7647319962605,3,False
0.8,2022-02-27T06:00:00,od_01,walking,3.0,walking-2,3,AIRPATH alternative,41.55388342954054,888.2822328920138,1299.263779209978,3,False
0.8,2022-02-27T06:00:00,od_01,walking,5.0,walking-1,0,fastest,40.00596776846269,850.5009486351621,1243.519308231538,3,False
0.8,2022-02-27T06:00:00,od_01,walking,5.0,walking-7,1,AIRPATH alternative,40.01852674613926,850.7671938875545,1243.9078305164871,3,False
0.8,2022-02-27T06:00:00,od_01,walking,5.0,walking-8,2,AIRPATH alternative,40.04640202946059,851.3620059846912,1244.7647319962605,3,False
