perturbation_scale,departure_time,scenario_id,mode,delta_time_allowed_minutes,top1_agreement,top3_overlap_count,top3_overlap_fraction,selected_travel_time_difference_minutes,selected_predicted_exposure_difference,selected_oracle_exposure_difference,baseline_decision_regret,perturbed_decision_regret,decision_regret_difference
0.8,2022-02-27T06:00:00,od_01,motorbike,0.0,True,1,1.0,0.0,-43.76419954498368,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_01,motorbike,1.0,True,2,1.0,0.0,-43.76419954498368,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_01,motorbike,2.0,True,2,1.0,0.0,-43.76419954498368,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_01,motorbike,3.0,True,3,1.0,0.0,-43.76419954498368,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_01,motorbike,5.0,True,3,1.0,0.0,-43.76419954498368,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_01,motorbike,10.0,True,3,1.0,0.0,-43.76419954498368,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_01,walking,0.0,True,1,1.0,0.0,-212.62523715879047,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_01,walking,1.0,True,3,1.0,0.0,-212.62523715879047,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_01,walking,2.0,True,3,1.0,0.0,-212.62523715879047,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_01,walking,3.0,True,3,1.0,0.0,-212.62523715879047,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_01,walking,5.0,True,3,1.0,0.0,-212.62523715879047,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_01,walking,10.0,True,3,1.0,0.0,-212.62523715879047,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_02,motorbike,0.0,True,1,1.0,0.0,-55.00726581203185,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_02,motorbike,1.0,True,3,1.0,0.0,-54.97480408168968,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_02,motorbike,2.0,True,3,1.0,0.0,-54.97480408168968,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_02,motorbike,3.0,True,3,1.0,0.0,-54.97480408168968,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_02,motorbike,5.0,True,3,1.0,0.0,-54.97480408168968,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_02,motorbike,10.0,True,3,1.0,0.0,-54.97480408168968,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_02,walking,0.0,True,1,1.0,0.0,-275.03632906015923,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_02,walking,1.0,True,2,1.0,0.0,-275.03632906015923,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_02,walking,2.0,True,3,1.0,0.0,-274.87402040844836,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_02,walking,3.0,True,3,1.0,0.0,-274.87402040844836,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_02,walking,5.0,True,3,1.0,0.0,-274.87402040844836,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_02,walking,10.0,True,3,1.0,0.0,-274.87402040844836,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_03,motorbike,0.0,True,1,1.0,0.0,-35.30728149922214,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_03,motorbike,1.0,True,3,1.0,0.0,-35.30728149922214,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_03,motorbike,2.0,True,3,1.0,0.0,-35.30728149922214,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_03,motorbike,3.0,True,3,1.0,0.0,-35.30728149922214,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_03,motorbike,5.0,True,3,1.0,0.0,-35.30728149922214,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_03,motorbike,10.0,True,3,1.0,0.0,-35.30728149922214,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_03,walking,0.0,True,1,1.0,0.0,-175.91248890160102,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_03,walking,1.0,True,2,1.0,0.0,-175.91248890160102,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_03,walking,2.0,True,3,1.0,0.0,-175.91248890160102,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_03,walking,3.0,True,3,1.0,0.0,-175.91248890160102,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_03,walking,5.0,True,3,1.0,0.0,-175.91248890160102,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_03,walking,10.0,True,3,1.0,0.0,-175.91248890160102,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_04,motorbike,0.0,True,1,1.0,0.0,-71.10979786392613,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_04,motorbike,1.0,True,3,1.0,0.0,-71.10979786392613,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_04,motorbike,2.0,True,3,1.0,0.0,-71.10979786392613,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_04,motorbike,3.0,True,3,1.0,0.0,-71.10979786392613,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_04,motorbike,5.0,True,3,1.0,0.0,-71.10979786392613,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_04,motorbike,10.0,True,3,1.0,0.0,-71.10979786392613,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_04,walking,0.0,True,1,1.0,0.0,-352.65085509989103,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_04,walking,1.0,True,3,1.0,0.0,-352.65085509989103,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_04,walking,2.0,True,3,1.0,0.0,-352.65085509989103,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_04,walking,3.0,True,3,1.0,0.0,-352.65085509989103,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_04,walking,5.0,True,3,1.0,0.0,-352.65085509989103,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_04,walking,10.0,True,3,1.0,0.0,-352.65085509989103,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_05,motorbike,0.0,True,1,1.0,0.0,-76.99809604088966,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_05,motorbike,1.0,True,2,1.0,0.0,-76.99809604088966,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_05,motorbike,2.0,True,2,1.0,0.0,-76.99809604088966,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_05,motorbike,3.0,True,3,1.0,0.0,-76.99809604088966,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_05,motorbike,5.0,True,3,1.0,0.0,-76.99809604088966,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_05,motorbike,10.0,True,3,1.0,0.0,-76.99809604088966,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_05,walking,0.0,True,1,1.0,0.0,-390.9237502948588,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_05,walking,1.0,True,3,1.0,0.0,-390.9237502948588,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_05,walking,2.0,True,3,1.0,0.0,-390.9237502948588,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_05,walking,3.0,True,3,1.0,0.0,-390.9237502948588,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_05,walking,5.0,True,3,1.0,0.0,-390.9237502948588,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_05,walking,10.0,True,3,1.0,0.0,-390.9237502948588,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_06,motorbike,0.0,True,1,1.0,0.0,-43.83330923322552,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_06,motorbike,1.0,True,3,1.0,0.0,-43.83330923322552,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_06,motorbike,2.0,True,3,1.0,0.0,-43.83330923322552,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_06,motorbike,3.0,True,3,1.0,0.0,-43.83330923322552,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_06,motorbike,5.0,True,3,1.0,0.0,-43.83330923322552,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_06,motorbike,10.0,True,3,1.0,0.0,-43.83330923322552,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_06,walking,0.0,True,1,1.0,0.0,-211.35545267569307,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_06,walking,1.0,True,3,1.0,0.0,-211.35545267569307,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_06,walking,2.0,True,3,1.0,0.0,-211.35545267569307,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_06,walking,3.0,True,3,1.0,0.0,-211.35545267569307,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_06,walking,5.0,True,3,1.0,0.0,-211.35545267569307,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_06,walking,10.0,True,3,1.0,0.0,-211.35545267569307,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_07,motorbike,0.0,True,1,1.0,0.0,-47.553430397242465,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_07,motorbike,1.0,True,3,1.0,0.0,-47.553430397242465,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_07,motorbike,2.0,True,3,1.0,0.0,-47.553430397242465,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_07,motorbike,3.0,True,3,1.0,0.0,-47.553430397242465,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_07,motorbike,5.0,True,3,1.0,0.0,-47.553430397242465,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_07,motorbike,10.0,True,3,1.0,0.0,-47.553430397242465,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_07,walking,0.0,True,1,1.0,0.0,-198.51899723669374,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_07,walking,1.0,True,3,1.0,0.0,-198.51899723669374,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_07,walking,2.0,True,3,1.0,0.0,-198.51899723669374,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_07,walking,3.0,True,3,1.0,0.0,-198.51899723669374,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_07,walking,5.0,True,3,1.0,0.0,-198.51899723669374,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_07,walking,10.0,True,3,1.0,0.0,-198.51899723669374,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_08,motorbike,0.0,True,1,1.0,0.0,-84.57312298168148,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_08,motorbike,1.0,True,2,1.0,0.0,-84.57312298168148,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_08,motorbike,2.0,True,3,1.0,0.0,-84.57312298168148,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_08,motorbike,3.0,True,3,1.0,0.0,-84.57312298168148,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_08,motorbike,5.0,True,3,1.0,0.0,-84.57312298168148,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_08,motorbike,10.0,True,3,1.0,0.0,-84.57312298168148,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_08,walking,0.0,True,1,1.0,0.0,-412.8224798459464,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_08,walking,1.0,True,3,1.0,0.0,-412.8224798459464,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_08,walking,2.0,True,3,1.0,0.0,-412.8224798459464,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_08,walking,3.0,True,3,1.0,0.0,-412.8224798459464,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_08,walking,5.0,True,3,1.0,0.0,-412.8224798459464,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_08,walking,10.0,True,3,1.0,0.0,-412.8224798459464,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_09,motorbike,0.0,True,1,1.0,0.0,-46.99139510031986,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_09,motorbike,1.0,True,2,1.0,0.0,-46.99139510031986,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_09,motorbike,2.0,True,3,1.0,0.0,-46.99139510031986,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_09,motorbike,3.0,True,3,1.0,0.0,-46.99139510031986,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_09,motorbike,5.0,True,3,1.0,0.0,-46.99139510031986,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_09,motorbike,10.0,True,3,1.0,0.0,-46.99139510031986,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_09,walking,0.0,True,1,1.0,0.0,-208.22003961896235,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_09,walking,1.0,True,3,1.0,0.0,-208.22003961896235,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_09,walking,2.0,True,3,1.0,0.0,-208.22003961896235,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_09,walking,3.0,True,3,1.0,0.0,-208.22003961896235,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_09,walking,5.0,True,3,1.0,0.0,-208.22003961896235,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_09,walking,10.0,True,3,1.0,0.0,-208.22003961896235,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_10,motorbike,0.0,True,1,1.0,0.0,-53.858781308507844,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_10,motorbike,1.0,True,2,1.0,0.0,-53.858781308507844,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_10,motorbike,2.0,True,3,1.0,0.0,-53.858781308507844,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_10,motorbike,3.0,True,3,1.0,0.0,-53.858781308507844,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_10,motorbike,5.0,True,3,1.0,0.0,-53.858781308507844,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_10,motorbike,10.0,True,3,1.0,0.0,-53.858781308507844,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_10,walking,0.0,True,1,1.0,0.0,-269.29390654253916,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_10,walking,1.0,True,3,1.0,0.0,-269.29390654253916,0.0,0.0,0.0,0.0
0.8,2022-02-27T06:00:00,od_10,walking,2.0,True,3,1.0,0.0,-269.29390654253916,0.0,0.0,0.0,0.0
