summary_level,perturbation_scale,cases,top1_agreement_rate,mean_top3_overlap_fraction,mean_abs_travel_time_difference_minutes,mean_abs_predicted_exposure_difference,mean_decision_regret_difference,mode,delta_time_allowed_minutes
all,0.8,1800,1.0,1.0,0.0,123.05624283603748,0.0,,
all,0.9,1800,1.0,1.0,0.0,61.52812141801874,0.0,,
all,0.95,1800,1.0,1.0,0.0,30.764060709009403,0.0,,
all,1.0,1800,1.0,1.0,0.0,0.0,0.0,,
all,1.05,1800,1.0,1.0,0.0,30.764060709009403,0.0,,
all,1.1,1800,1.0,1.0,0.0,61.528121418018806,0.0,,
all,1.2,1800,1.0,1.0,0.0,123.0562428360375,0.0,,
mode,0.8,900,1.0,1.0,0.0,42.53753264102366,0.0,motorbike,
mode,0.8,900,1.0,1.0,0.0,203.57495303105134,0.0,walking,
mode,0.9,900,1.0,1.0,0.0,21.268766320511826,0.0,motorbike,
mode,0.9,900,1.0,1.0,0.0,101.78747651552567,0.0,walking,
mode,0.95,900,1.0,1.0,0.0,10.634383160255926,0.0,motorbike,
mode,0.95,900,1.0,1.0,0.0,50.893738257762884,0.0,walking,
mode,1.0,900,1.0,1.0,0.0,0.0,0.0,motorbike,
mode,1.0,900,1.0,1.0,0.0,0.0,0.0,walking,
mode,1.05,900,1.0,1.0,0.0,10.634383160255926,0.0,motorbike,
mode,1.05,900,1.0,1.0,0.0,50.89373825776289,0.0,walking,
mode,1.1,900,1.0,1.0,0.0,21.26876632051185,0.0,motorbike,
mode,1.1,900,1.0,1.0,0.0,101.78747651552577,0.0,walking,
mode,1.2,900,1.0,1.0,0.0,42.53753264102366,0.0,motorbike,
mode,1.2,900,1.0,1.0,0.0,203.57495303105136,0.0,walking,
tolerance,0.8,300,1.0,1.0,0.0,123.0669364295409,0.0,,0.0
tolerance,0.8,300,1.0,1.0,0.0,123.05752356528797,0.0,,1.0
tolerance,0.8,300,1.0,1.0,0.0,123.05324925534903,0.0,,2.0
tolerance,0.8,300,1.0,1.0,0.0,123.05324925534903,0.0,,3.0
tolerance,0.8,300,1.0,1.0,0.0,123.05324925534903,0.0,,5.0
tolerance,0.8,300,1.0,1.0,0.0,123.05324925534903,0.0,,10.0
tolerance,0.9,300,1.0,1.0,0.0,61.53346821477046,0.0,,0.0
tolerance,0.9,300,1.0,1.0,0.0,61.52876178264398,0.0,,1.0
tolerance,0.9,300,1.0,1.0,0.0,61.5266246276745,0.0,,2.0
tolerance,0.9,300,1.0,1.0,0.0,61.5266246276745,0.0,,3.0
tolerance,0.9,300,1.0,1.0,0.0,61.5266246276745,0.0,,5.0
tolerance,0.9,300,1.0,1.0,0.0,61.5266246276745,0.0,,10.0
tolerance,0.95,300,1.0,1.0,0.0,30.76673410738526,0.0,,0.0
tolerance,0.95,300,1.0,1.0,0.0,30.764380891322023,0.0,,1.0
tolerance,0.95,300,1.0,1.0,0.0,30.763312313837286,0.0,,2.0
tolerance,0.95,300,1.0,1.0,0.0,30.763312313837286,0.0,,3.0
tolerance,0.95,300,1.0,1.0,0.0,30.763312313837286,0.0,,5.0
tolerance,0.95,300,1.0,1.0,0.0,30.763312313837286,0.0,,10.0
tolerance,1.0,300,1.0,1.0,0.0,0.0,0.0,,0.0
tolerance,1.0,300,1.0,1.0,0.0,0.0,0.0,,1.0
tolerance,1.0,300,1.0,1.0,0.0,0.0,0.0,,2.0
tolerance,1.0,300,1.0,1.0,0.0,0.0,0.0,,3.0
tolerance,1.0,300,1.0,1.0,0.0,0.0,0.0,,5.0
tolerance,1.0,300,1.0,1.0,0.0,0.0,0.0,,10.0
tolerance,1.05,300,1.0,1.0,0.0,30.76673410738526,0.0,,0.0
tolerance,1.05,300,1.0,1.0,0.0,30.764380891322027,0.0,,1.0
tolerance,1.05,300,1.0,1.0,0.0,30.763312313837293,0.0,,2.0
tolerance,1.05,300,1.0,1.0,0.0,30.763312313837293,0.0,,3.0
tolerance,1.05,300,1.0,1.0,0.0,30.763312313837293,0.0,,5.0
tolerance,1.05,300,1.0,1.0,0.0,30.763312313837293,0.0,,10.0
tolerance,1.1,300,1.0,1.0,0.0,61.53346821477052,0.0,,0.0
tolerance,1.1,300,1.0,1.0,0.0,61.52876178264405,0.0,,1.0
tolerance,1.1,300,1.0,1.0,0.0,61.52662462767457,0.0,,2.0
tolerance,1.1,300,1.0,1.0,0.0,61.52662462767457,0.0,,3.0
tolerance,1.1,300,1.0,1.0,0.0,61.52662462767457,0.0,,5.0
tolerance,1.1,300,1.0,1.0,0.0,61.52662462767457,0.0,,10.0
tolerance,1.2,300,1.0,1.0,0.0,123.06693642954092,0.0,,0.0
tolerance,1.2,300,1.0,1.0,0.0,123.05752356528797,0.0,,1.0
tolerance,1.2,300,1.0,1.0,0.0,123.053249255349,0.0,,2.0
tolerance,1.2,300,1.0,1.0,0.0,123.053249255349,0.0,,3.0
tolerance,1.2,300,1.0,1.0,0.0,123.053249255349,0.0,,5.0
tolerance,1.2,300,1.0,1.0,0.0,123.053249255349,0.0,,10.0
mode_tolerance,0.8,150,1.0,1.0,0.0,42.543876782377424,0.0,motorbike,0.0
mode_tolerance,0.8,150,1.0,1.0,0.0,42.5362638127529,0.0,motorbike,1.0
mode_tolerance,0.8,150,1.0,1.0,0.0,42.5362638127529,0.0,motorbike,2.0
mode_tolerance,0.8,150,1.0,1.0,0.0,42.5362638127529,0.0,motorbike,3.0
mode_tolerance,0.8,150,1.0,1.0,0.0,42.5362638127529,0.0,motorbike,5.0
mode_tolerance,0.8,150,1.0,1.0,0.0,42.5362638127529,0.0,motorbike,10.0
mode_tolerance,0.8,150,1.0,1.0,0.0,203.58999607670438,0.0,walking,0.0
mode_tolerance,0.8,150,1.0,1.0,0.0,203.57878331782302,0.0,walking,1.0
mode_tolerance,0.8,150,1.0,1.0,0.0,203.57023469794512,0.0,walking,2.0
mode_tolerance,0.8,150,1.0,1.0,0.0,203.57023469794512,0.0,walking,3.0
mode_tolerance,0.8,150,1.0,1.0,0.0,203.57023469794512,0.0,walking,5.0
mode_tolerance,0.8,150,1.0,1.0,0.0,203.57023469794512,0.0,walking,10.0
mode_tolerance,0.9,150,1.0,1.0,0.0,21.27193839118871,0.0,motorbike,0.0
mode_tolerance,0.9,150,1.0,1.0,0.0,21.26813190637645,0.0,motorbike,1.0
mode_tolerance,0.9,150,1.0,1.0,0.0,21.26813190637645,0.0,motorbike,2.0
mode_tolerance,0.9,150,1.0,1.0,0.0,21.26813190637645,0.0,motorbike,3.0
mode_tolerance,0.9,150,1.0,1.0,0.0,21.26813190637645,0.0,motorbike,5.0
mode_tolerance,0.9,150,1.0,1.0,0.0,21.26813190637645,0.0,motorbike,10.0
mode_tolerance,0.9,150,1.0,1.0,0.0,101.79499803835219,0.0,walking,0.0
mode_tolerance,0.9,150,1.0,1.0,0.0,101.78939165891151,0.0,walking,1.0
mode_tolerance,0.9,150,1.0,1.0,0.0,101.78511734897256,0.0,walking,2.0
mode_tolerance,0.9,150,1.0,1.0,0.0,101.78511734897256,0.0,walking,3.0
