scenario_id,mode,route_id,oracle_rank,predicted_rank,rank_shift
od_01,motorbike,motorbike-1,1,1,0
od_01,motorbike,motorbike-2,2,2,0
od_01,motorbike,motorbike-3,3,3,0
od_01,motorbike,motorbike-4,5,5,0
od_01,motorbike,motorbike-5,4,4,0
od_01,motorbike,motorbike-6,7,7,0
od_01,motorbike,motorbike-7,6,6,0
od_01,motorbike,motorbike-8,8,8,0
od_01,walking,walking-1,1,1,0
od_01,walking,walking-2,4,4,0
od_01,walking,walking-3,5,5,0
od_01,walking,walking-4,7,7,0
od_01,walking,walking-5,8,8,0
od_01,walking,walking-6,6,6,0
od_01,walking,walking-7,2,2,0
od_01,walking,walking-8,3,3,0
od_02,motorbike,motorbike-1,1,1,0
od_02,motorbike,motorbike-2,2,2,0
od_02,motorbike,motorbike-3,3,3,0
od_02,motorbike,motorbike-4,4,4,0
od_02,motorbike,motorbike-5,5,5,0
od_02,motorbike,motorbike-6,7,7,0
od_02,motorbike,motorbike-7,6,6,0
od_02,motorbike,motorbike-8,8,8,0
od_02,walking,walking-1,1,1,0
od_02,walking,walking-2,2,3,1
od_02,walking,walking-3,4,4,0
od_02,walking,walking-4,5,5,0
od_02,walking,walking-5,6,6,0
od_02,walking,walking-6,7,7,0
od_02,walking,walking-7,8,8,0
od_02,walking,walking-8,3,2,-1
od_03,motorbike,motorbike-1,1,1,0
od_03,motorbike,motorbike-2,2,2,0
od_03,motorbike,motorbike-3,3,3,0
od_03,motorbike,motorbike-4,4,5,1
od_03,motorbike,motorbike-5,5,4,-1
od_03,motorbike,motorbike-6,6,6,0
od_03,motorbike,motorbike-7,7,7,0
od_03,motorbike,motorbike-8,8,8,0
od_03,walking,walking-1,1,1,0
od_03,walking,walking-2,2,2,0
od_03,walking,walking-3,3,3,0
od_03,walking,walking-4,4,5,1
od_03,walking,walking-5,5,4,-1
od_03,walking,walking-6,6,6,0
od_03,walking,walking-7,8,8,0
od_03,walking,walking-8,7,7,0
od_04,motorbike,motorbike-1,1,1,0
od_04,motorbike,motorbike-2,2,2,0
od_04,motorbike,motorbike-3,3,3,0
od_04,motorbike,motorbike-4,4,4,0
od_04,motorbike,motorbike-5,5,5,0
od_04,motorbike,motorbike-6,6,6,0
od_04,motorbike,motorbike-7,7,7,0
od_04,motorbike,motorbike-8,8,8,0
od_04,walking,walking-1,1,1,0
od_04,walking,walking-2,5,5,0
od_04,walking,walking-3,6,6,0
od_04,walking,walking-4,7,7,0
od_04,walking,walking-5,8,8,0
od_04,walking,walking-6,2,2,0
od_04,walking,walking-7,4,3,-1
od_04,walking,walking-8,3,4,1
od_05,motorbike,motorbike-1,1,1,0
od_05,motorbike,motorbike-2,2,2,0
od_05,motorbike,motorbike-3,3,3,0
od_05,motorbike,motorbike-4,4,4,0
od_05,motorbike,motorbike-5,5,5,0
od_05,motorbike,motorbike-6,6,6,0
od_05,motorbike,motorbike-7,7,7,0
od_05,motorbike,motorbike-8,8,8,0
od_05,walking,walking-1,1,1,0
od_05,walking,walking-2,6,6,0
od_05,walking,walking-3,7,7,0
od_05,walking,walking-4,8,8,0
od_05,walking,walking-5,2,2,0
od_05,walking,walking-6,4,3,-1
od_05,walking,walking-7,5,5,0
od_05,walking,walking-8,3,4,1
od_06,motorbike,motorbike-1,1,1,0
od_06,motorbike,motorbike-2,2,2,0
od_06,motorbike,motorbike-3,3,3,0
od_06,motorbike,motorbike-4,5,5,0
od_06,motorbike,motorbike-5,4,4,0
od_06,motorbike,motorbike-6,6,6,0
od_06,motorbike,motorbike-7,7,7,0
od_06,motorbike,motorbike-8,8,8,0
od_06,walking,walking-1,1,1,0
od_06,walking,walking-2,5,5,0
od_06,walking,walking-3,6,6,0
od_06,walking,walking-4,7,7,0
od_06,walking,walking-5,8,8,0
od_06,walking,walking-6,2,2,0
od_06,walking,walking-7,3,3,0
od_06,walking,walking-8,4,4,0
od_07,motorbike,motorbike-1,1,1,0
od_07,motorbike,motorbike-2,2,2,0
od_07,motorbike,motorbike-3,3,3,0
od_07,motorbike,motorbike-4,4,4,0
od_07,motorbike,motorbike-5,5,5,0
od_07,motorbike,motorbike-6,6,6,0
od_07,motorbike,motorbike-7,7,7,0
od_07,motorbike,motorbike-8,8,8,0
od_07,walking,walking-1,1,1,0
od_07,walking,walking-2,4,4,0
od_07,walking,walking-3,5,5,0
od_07,walking,walking-4,7,7,0
od_07,walking,walking-5,6,6,0
od_07,walking,walking-6,8,8,0
od_07,walking,walking-7,2,2,0
od_07,walking,walking-8,3,3,0
od_08,motorbike,motorbike-1,1,1,0
od_08,motorbike,motorbike-2,2,2,0
od_08,motorbike,motorbike-3,4,4,0
od_08,motorbike,motorbike-4,3,3,0
od_08,motorbike,motorbike-5,6,5,-1
od_08,motorbike,motorbike-6,5,6,1
od_08,motorbike,motorbike-7,7,7,0
od_08,motorbike,motorbike-8,8,8,0
od_08,walking,walking-1,1,1,0
od_08,walking,walking-2,5,4,-1
od_08,walking,walking-3,4,5,1
od_08,walking,walking-4,6,6,0
od_08,walking,walking-5,7,7,0
od_08,walking,walking-6,8,8,0
od_08,walking,walking-7,2,2,0
od_08,walking,walking-8,3,3,0
od_09,motorbike,motorbike-1,1,1,0
od_09,motorbike,motorbike-2,3,3,0
od_09,motorbike,motorbike-3,2,2,0
od_09,motorbike,motorbike-4,4,4,0
od_09,motorbike,motorbike-5,6,6,0
od_09,motorbike,motorbike-6,5,5,0
od_09,motorbike,motorbike-7,7,7,0
od_09,motorbike,motorbike-8,8,8,0
od_09,walking,walking-1,1,1,0
od_09,walking,walking-2,4,4,0
od_09,walking,walking-3,6,6,0
od_09,walking,walking-4,5,5,0
od_09,walking,walking-5,8,8,0
od_09,walking,walking-6,7,7,0
od_09,walking,walking-7,3,3,0
od_09,walking,walking-8,2,2,0
od_10,motorbike,motorbike-1,1,1,0
od_10,motorbike,motorbike-2,2,2,0
od_10,motorbike,motorbike-3,3,3,0
od_10,motorbike,motorbike-4,4,4,0
od_10,motorbike,motorbike-5,6,5,-1
od_10,motorbike,motorbike-6,5,6,1
od_10,motorbike,motorbike-7,8,8,0
od_10,motorbike,motorbike-8,7,7,0
od_10,walking,walking-1,1,1,0
od_10,walking,walking-2,6,5,-1
od_10,walking,walking-3,5,6,1
od_10,walking,walking-4,7,7,0
od_10,walking,walking-5,8,8,0
od_10,walking,walking-6,2,2,0
od_10,walking,walking-7,3,3,0
od_10,walking,walking-8,4,4,0
