scenario_id,mode,route_id,rank_static,rank_airpath,rank_shift_airpath_minus_static,material_rank_change
od_01,motorbike,motorbike-1,1,1,0,False
od_01,motorbike,motorbike-2,2,2,0,False
od_01,motorbike,motorbike-3,3,3,0,False
od_01,motorbike,motorbike-4,5,5,0,False
od_01,motorbike,motorbike-5,4,4,0,False
od_01,motorbike,motorbike-6,7,7,0,False
od_01,motorbike,motorbike-7,6,6,0,False
od_01,motorbike,motorbike-8,8,8,0,False
od_01,walking,walking-1,1,1,0,False
od_01,walking,walking-2,4,4,0,False
od_01,walking,walking-3,5,5,0,False
od_01,walking,walking-4,7,7,0,False
od_01,walking,walking-5,8,8,0,False
od_01,walking,walking-6,6,6,0,False
od_01,walking,walking-7,2,2,0,False
od_01,walking,walking-8,3,3,0,False
od_02,motorbike,motorbike-1,2,1,-1,True
od_02,motorbike,motorbike-2,1,2,1,True
od_02,motorbike,motorbike-3,3,3,0,False
od_02,motorbike,motorbike-4,4,4,0,False
od_02,motorbike,motorbike-5,5,5,0,False
od_02,motorbike,motorbike-6,7,7,0,False
od_02,motorbike,motorbike-7,6,6,0,False
od_02,motorbike,motorbike-8,8,8,0,False
od_02,walking,walking-1,2,1,-1,True
od_02,walking,walking-2,1,3,2,True
od_02,walking,walking-3,4,4,0,False
od_02,walking,walking-4,5,5,0,False
od_02,walking,walking-5,6,6,0,False
od_02,walking,walking-6,7,7,0,False
od_02,walking,walking-7,8,8,0,False
od_02,walking,walking-8,3,2,-1,True
od_03,motorbike,motorbike-1,1,1,0,False
od_03,motorbike,motorbike-2,2,2,0,False
od_03,motorbike,motorbike-3,3,3,0,False
od_03,motorbike,motorbike-4,5,5,0,False
od_03,motorbike,motorbike-5,4,4,0,False
od_03,motorbike,motorbike-6,6,6,0,False
od_03,motorbike,motorbike-7,7,7,0,False
od_03,motorbike,motorbike-8,8,8,0,False
od_03,walking,walking-1,1,1,0,False
od_03,walking,walking-2,2,2,0,False
od_03,walking,walking-3,3,3,0,False
od_03,walking,walking-4,5,5,0,False
od_03,walking,walking-5,4,4,0,False
od_03,walking,walking-6,6,6,0,False
od_03,walking,walking-7,8,8,0,False
od_03,walking,walking-8,7,7,0,False
od_04,motorbike,motorbike-1,1,1,0,False
od_04,motorbike,motorbike-2,2,2,0,False
od_04,motorbike,motorbike-3,3,3,0,False
od_04,motorbike,motorbike-4,4,4,0,False
od_04,motorbike,motorbike-5,5,5,0,False
od_04,motorbike,motorbike-6,6,6,0,False
od_04,motorbike,motorbike-7,7,7,0,False
od_04,motorbike,motorbike-8,8,8,0,False
od_04,walking,walking-1,1,1,0,False
od_04,walking,walking-2,5,5,0,False
od_04,walking,walking-3,6,6,0,False
od_04,walking,walking-4,7,7,0,False
od_04,walking,walking-5,8,8,0,False
od_04,walking,walking-6,2,2,0,False
od_04,walking,walking-7,4,4,0,False
od_04,walking,walking-8,3,3,0,False
od_05,motorbike,motorbike-1,1,1,0,False
od_05,motorbike,motorbike-2,2,2,0,False
od_05,motorbike,motorbike-3,3,3,0,False
od_05,motorbike,motorbike-4,4,4,0,False
od_05,motorbike,motorbike-5,5,5,0,False
od_05,motorbike,motorbike-6,6,6,0,False
od_05,motorbike,motorbike-7,7,7,0,False
od_05,motorbike,motorbike-8,8,8,0,False
od_05,walking,walking-1,1,1,0,False
od_05,walking,walking-2,6,6,0,False
od_05,walking,walking-3,7,7,0,False
od_05,walking,walking-4,8,8,0,False
od_05,walking,walking-5,2,2,0,False
od_05,walking,walking-6,3,3,0,False
od_05,walking,walking-7,4,5,1,True
od_05,walking,walking-8,5,4,-1,True
od_06,motorbike,motorbike-1,1,1,0,False
od_06,motorbike,motorbike-2,2,2,0,False
od_06,motorbike,motorbike-3,3,3,0,False
od_06,motorbike,motorbike-4,5,5,0,False
od_06,motorbike,motorbike-5,4,4,0,False
od_06,motorbike,motorbike-6,6,6,0,False
od_06,motorbike,motorbike-7,7,7,0,False
od_06,motorbike,motorbike-8,8,8,0,False
od_06,walking,walking-1,1,1,0,False
od_06,walking,walking-2,5,5,0,False
od_06,walking,walking-3,6,6,0,False
od_06,walking,walking-4,7,7,0,False
od_06,walking,walking-5,8,8,0,False
od_06,walking,walking-6,2,2,0,False
od_06,walking,walking-7,3,3,0,False
od_06,walking,walking-8,4,4,0,False
od_07,motorbike,motorbike-1,1,1,0,False
od_07,motorbike,motorbike-2,2,2,0,False
od_07,motorbike,motorbike-3,3,3,0,False
od_07,motorbike,motorbike-4,4,4,0,False
od_07,motorbike,motorbike-5,6,5,-1,True
od_07,motorbike,motorbike-6,5,6,1,True
od_07,motorbike,motorbike-7,7,7,0,False
od_07,motorbike,motorbike-8,8,8,0,False
od_07,walking,walking-1,1,1,0,False
od_07,walking,walking-2,4,4,0,False
od_07,walking,walking-3,5,5,0,False
od_07,walking,walking-4,7,7,0,False
od_07,walking,walking-5,6,6,0,False
od_07,walking,walking-6,8,8,0,False
od_07,walking,walking-7,2,2,0,False
od_07,walking,walking-8,3,3,0,False
od_08,motorbike,motorbike-1,1,1,0,False
od_08,motorbike,motorbike-2,2,2,0,False
od_08,motorbike,motorbike-3,4,4,0,False
od_08,motorbike,motorbike-4,3,3,0,False
od_08,motorbike,motorbike-5,7,6,-1,True
od_08,motorbike,motorbike-6,5,5,0,False
od_08,motorbike,motorbike-7,6,7,1,True
od_08,motorbike,motorbike-8,8,8,0,False
od_08,walking,walking-1,1,1,0,False
od_08,walking,walking-2,5,5,0,False
od_08,walking,walking-3,4,4,0,False
od_08,walking,walking-4,6,6,0,False
od_08,walking,walking-5,8,7,-1,True
od_08,walking,walking-6,7,8,1,True
od_08,walking,walking-7,2,2,0,False
od_08,walking,walking-8,3,3,0,False
od_09,motorbike,motorbike-1,1,1,0,False
od_09,motorbike,motorbike-2,3,3,0,False
od_09,motorbike,motorbike-3,2,2,0,False
od_09,motorbike,motorbike-4,4,4,0,False
od_09,motorbike,motorbike-5,6,6,0,False
od_09,motorbike,motorbike-6,5,5,0,False
od_09,motorbike,motorbike-7,7,7,0,False
od_09,motorbike,motorbike-8,8,8,0,False
od_09,walking,walking-1,1,1,0,False
od_09,walking,walking-2,4,4,0,False
od_09,walking,walking-3,6,6,0,False
od_09,walking,walking-4,5,5,0,False
od_09,walking,walking-5,8,8,0,False
od_09,walking,walking-6,7,7,0,False
od_09,walking,walking-7,3,3,0,False
od_09,walking,walking-8,2,2,0,False
od_10,motorbike,motorbike-1,1,1,0,False
od_10,motorbike,motorbike-2,2,2,0,False
od_10,motorbike,motorbike-3,3,3,0,False
od_10,motorbike,motorbike-4,4,4,0,False
od_10,motorbike,motorbike-5,6,6,0,False
od_10,motorbike,motorbike-6,5,5,0,False
od_10,motorbike,motorbike-7,8,8,0,False
od_10,motorbike,motorbike-8,7,7,0,False
od_10,walking,walking-1,1,1,0,False
od_10,walking,walking-2,6,6,0,False
od_10,walking,walking-3,5,5,0,False
od_10,walking,walking-4,7,7,0,False
od_10,walking,walking-5,8,8,0,False
od_10,walking,walking-6,2,2,0,False
od_10,walking,walking-7,3,3,0,False
od_10,walking,walking-8,4,4,0,False
od_11,motorbike,motorbike-1,1,1,0,False
od_11,motorbike,motorbike-2,3,2,-1,True
od_11,motorbike,motorbike-3,2,3,1,True
od_11,motorbike,motorbike-4,4,4,0,False
od_11,motorbike,motorbike-5,5,5,0,False
od_11,motorbike,motorbike-6,7,7,0,False
od_11,motorbike,motorbike-7,8,8,0,False
od_11,motorbike,motorbike-8,6,6,0,False
od_11,walking,walking-1,1,1,0,False
od_11,walking,walking-2,7,7,0,False
od_11,walking,walking-3,8,8,0,False
od_11,walking,walking-4,2,2,0,False
od_11,walking,walking-5,3,3,0,False
od_11,walking,walking-6,4,4,0,False
od_11,walking,walking-7,5,5,0,False
od_11,walking,walking-8,6,6,0,False
od_12,motorbike,motorbike-1,1,1,0,False
od_12,motorbike,motorbike-2,2,2,0,False
od_12,motorbike,motorbike-3,3,3,0,False
od_12,motorbike,motorbike-4,4,4,0,False
od_12,motorbike,motorbike-5,7,7,0,False
od_12,motorbike,motorbike-6,5,5,0,False
od_12,motorbike,motorbike-7,6,6,0,False
od_12,motorbike,motorbike-8,8,8,0,False
od_12,walking,walking-1,1,1,0,False
od_12,walking,walking-2,6,6,0,False
od_12,walking,walking-3,7,7,0,False
od_12,walking,walking-4,8,8,0,False
od_12,walking,walking-5,2,2,0,False
od_12,walking,walking-6,3,3,0,False
od_12,walking,walking-7,4,4,0,False
od_12,walking,walking-8,5,5,0,False
od_13,motorbike,motorbike-1,1,1,0,False
od_13,motorbike,motorbike-2,2,2,0,False
od_13,motorbike,motorbike-3,3,3,0,False
od_13,motorbike,motorbike-4,5,5,0,False
od_13,motorbike,motorbike-5,4,4,0,False
od_13,motorbike,motorbike-6,6,6,0,False
od_13,motorbike,motorbike-7,8,8,0,False
od_13,motorbike,motorbike-8,7,7,0,False
od_13,walking,walking-1,1,1,0,False
od_13,walking,walking-2,6,6,0,False
od_13,walking,walking-3,8,7,-1,True
od_13,walking,walking-4,7,8,1,True
od_13,walking,walking-5,2,2,0,False
od_13,walking,walking-6,3,3,0,False
od_13,walking,walking-7,4,4,0,False
od_13,walking,walking-8,5,5,0,False
od_14,motorbike,motorbike-1,1,1,0,False
od_14,motorbike,motorbike-2,2,2,0,False
od_14,motorbike,motorbike-3,3,3,0,False
od_14,motorbike,motorbike-4,4,4,0,False
od_14,motorbike,motorbike-5,6,6,0,False
od_14,motorbike,motorbike-6,5,5,0,False
od_14,motorbike,motorbike-7,7,7,0,False
od_14,motorbike,motorbike-8,8,8,0,False
od_14,walking,walking-1,1,1,0,False
od_14,walking,walking-2,3,3,0,False
od_14,walking,walking-3,6,6,0,False
od_14,walking,walking-4,7,7,0,False
od_14,walking,walking-5,5,5,0,False
od_14,walking,walking-6,8,8,0,False
od_14,walking,walking-7,4,4,0,False
od_14,walking,walking-8,2,2,0,False
od_15,motorbike,motorbike-1,1,1,0,False
od_15,motorbike,motorbike-2,2,2,0,False
od_15,motorbike,motorbike-3,3,3,0,False
od_15,motorbike,motorbike-4,5,5,0,False
od_15,motorbike,motorbike-5,4,4,0,False
od_15,motorbike,motorbike-6,6,6,0,False
od_15,motorbike,motorbike-7,7,7,0,False
od_15,motorbike,motorbike-8,8,8,0,False
od_15,walking,walking-1,1,1,0,False
od_15,walking,walking-2,7,7,0,False
od_15,walking,walking-3,8,8,0,False
od_15,walking,walking-4,2,2,0,False
od_15,walking,walking-5,3,3,0,False
