mode,delta_time_allowed_minutes,cases,percentage_selections_differ,mean_static_predicted_reduction_vs_fastest,mean_airpath_predicted_reduction_vs_fastest,mean_oracle_reduction_static_selected_vs_fastest,mean_oracle_reduction_airpath_selected_vs_fastest,differing_cases,mean_oracle_percent_improvement_when_differ
motorbike,0.0,150,0.0,0.0,0.0,0.0,0.0,0,
motorbike,1.0,150,0.6666666666666667,0.1506888083405433,0.03806484812258191,0.00795224579381094,0.017230668584095384,1,0.4965271922133093
motorbike,2.0,150,0.6666666666666667,0.1506888083405433,0.03806484812258191,0.00795224579381094,0.017230668584095384,1,0.4965271922133093
motorbike,3.0,150,0.6666666666666667,0.1506888083405433,0.03806484812258191,0.00795224579381094,0.017230668584095384,1,0.4965271922133093
motorbike,5.0,150,0.6666666666666667,0.1506888083405433,0.03806484812258191,0.00795224579381094,0.017230668584095384,1,0.4965271922133093
motorbike,10.0,150,0.6666666666666667,0.1506888083405433,0.03806484812258191,0.00795224579381094,0.017230668584095384,1,0.4965271922133093
walking,0.0,150,0.0,0.0,0.0,0.0,0.0,0,
walking,1.0,150,2.0,0.10578335993173292,0.05606379440685108,0.09344937759049875,0.0606036556356609,3,-0.13729274597253086
walking,2.0,150,2.0,0.5551751894142481,0.09880689379640369,0.071912482183277,0.039066760228439155,3,-0.13729274597253086
walking,3.0,150,2.0,0.5551751894142481,0.09880689379640369,0.071912482183277,0.039066760228439155,3,-0.13729274597253086
walking,5.0,150,2.0,0.5551751894142481,0.09880689379640369,0.071912482183277,0.039066760228439155,3,-0.13729274597253086
walking,10.0,150,2.0,0.5551751894142481,0.09880689379640369,0.071912482183277,0.039066760228439155,3,-0.13729274597253086
