model,split,evaluation_label,Station_No,horizon_hours,n,mae,rmse,r2
A_persistence,validation,development_validation_exploratory,ALL,ALL,25744,4.486610017453387,9.218150520064691,0.3990074786602763
A_persistence,validation,development_validation_exploratory,ALL,1,8603,3.038068292731256,7.0252799659720475,0.651794007839027
A_persistence,validation,development_validation_exploratory,ALL,2,8580,4.639194096851282,9.453301365175692,0.3674507910767624
A_persistence,validation,development_validation_exploratory,ALL,3,8561,5.789335523416541,10.787420298705811,0.17557716395586853
B_xgboost_v1_no_current,validation,development_validation_exploratory,ALL,ALL,25744,5.577076512137475,8.935650824771079,0.4352791058976079
B_xgboost_v1_no_current,validation,development_validation_exploratory,ALL,1,8603,4.698592482790346,8.088266572301793,0.5384488038572175
B_xgboost_v1_no_current,validation,development_validation_exploratory,ALL,2,8580,5.67684619827766,9.007633610798127,0.4256868820441705
B_xgboost_v1_no_current,validation,development_validation_exploratory,ALL,3,8561,6.359879245158214,9.646136716258443,0.34079326037599633
C_xgboost_current_pm,validation,development_validation_exploratory,ALL,ALL,25744,4.599789020567456,8.039979842210776,0.5428156064131513
C_xgboost_current_pm,validation,development_validation_exploratory,ALL,1,8603,3.2098168815765993,6.521943446148245,0.6999020522543873
C_xgboost_current_pm,validation,development_validation_exploratory,ALL,2,8580,4.732838235480537,8.11912672523415,0.5333986932791428
C_xgboost_current_pm,validation,development_validation_exploratory,ALL,3,8561,5.8632358197479375,9.250593121084018,0.39374690099310494
