route_id,segment_index,edge_id,start_node,end_node,road_type,direction,mode,segment_geometry,representative_latitude,representative_longitude,segment_duration_seconds,entry_elapsed_seconds,cumulative_elapsed_seconds,entry_timestamp,target_arrival_timestamp,estimated_arrival_timestamp
walking-1,1,242307849:3:r,2498079018,5772557710,secondary,reverse,walking,"[[10.7802867, 106.6595074], [10.7797475, 106.6601118]]",10.780017099999998,106.65980959999999,64.2111103555191,0.0,64.2111103555191,2026-08-20T08:00:00+07:00,2026-08-20T08:00:32.105555178+07:00,2026-08-20T08:01:04.211110356+07:00
walking-1,2,242307849:2:r,5772557710,2498079024,secondary,reverse,walking,"[[10.7797475, 106.6601118], [10.7794909, 106.6603994]]",10.779619199999999,106.6602556,30.555828192950003,64.2111103555191,94.7669385484691,2026-08-20T08:01:04.211110356+07:00,2026-08-20T08:01:19.489024452+07:00,2026-08-20T08:01:34.766938548+07:00
walking-1,3,242307850:7:r,2498079024,2498079026,service,reverse,walking,"[[10.7794909, 106.6603994], [10.7795728, 106.6604817]]",10.779531850000001,106.66044055,9.213552767047887,94.7669385484691,103.98049131551699,2026-08-20T08:01:34.766938548+07:00,2026-08-20T08:01:39.373714932+07:00,2026-08-20T08:01:43.980491316+07:00
walking-1,4,242307850:6:r,2498079026,5772557711,service,reverse,walking,"[[10.7795728, 106.6604817], [10.7797695, 106.660676]]",10.77967115,106.66057885000001,21.943394380056954,103.98049131551699,125.92388569557394,2026-08-20T08:01:43.980491316+07:00,2026-08-20T08:01:54.952188506+07:00,2026-08-20T08:02:05.923885696+07:00
walking-1,5,242307850:5:r,5772557711,11306427663,service,reverse,walking,"[[10.7797695, 106.660676], [10.7799194, 106.6608431]]",10.77984445,106.66075955,17.797140448796746,125.92388569557394,143.72102614437068,2026-08-20T08:02:05.923885696+07:00,2026-08-20T08:02:14.822455920+07:00,2026-08-20T08:02:23.721026144+07:00
walking-1,6,242307850:4:r,11306427663,2498079020,service,reverse,walking,"[[10.7799194, 106.6608431], [10.7799431, 106.6608727]]",10.77993125,106.6608579,3.003280407604413,143.72102614437068,146.7243065519751,2026-08-20T08:02:23.721026144+07:00,2026-08-20T08:02:25.222666348+07:00,2026-08-20T08:02:26.724306552+07:00
walking-1,7,242307850:3:r,2498079020,366468111,service,reverse,walking,"[[10.7799431, 106.6608727], [10.7802455, 106.6608189]]",10.7800943,106.6608458,24.577248888108592,146.7243065519751,171.3015554400837,2026-08-20T08:02:26.724306552+07:00,2026-08-20T08:02:39.012930996+07:00,2026-08-20T08:02:51.301555440+07:00
walking-1,8,398666016:0:f,366468111,1349033434,residential,forward,walking,"[[10.7802455, 106.6608189], [10.7805505, 106.6617629]]",10.780398,106.6612909,78.15573009079817,171.3015554400837,249.45728553088185,2026-08-20T08:02:51.301555440+07:00,2026-08-20T08:03:30.379420485+07:00,2026-08-20T08:04:09.457285531+07:00
walking-1,9,398666016:1:f,1349033434,366412649,residential,forward,walking,"[[10.7805505, 106.6617629], [10.7808984, 106.6626235]]",10.780724450000001,106.66219319999999,73.19091460018737,249.45728553088185,322.6482001310692,2026-08-20T08:04:09.457285531+07:00,2026-08-20T08:04:46.052742831+07:00,2026-08-20T08:05:22.648200131+07:00
walking-1,10,398666016:2:f,366412649,2930534044,residential,forward,walking,"[[10.7808984, 106.6626235], [10.7812296, 106.6635205]]",10.781064,106.663072,75.36530278631888,322.6482001310692,398.01350291738805,2026-08-20T08:05:22.648200131+07:00,2026-08-20T08:06:00.330851524+07:00,2026-08-20T08:06:38.013502917+07:00
