route_id,segment_id,segment_index,mode,latitude,longitude,segment_geometry,segment_duration_seconds,route_departure_time,segment_entry_time,requested_target_time,supported_target_time,segment_endpoint_arrival_time,forecasting_origin_time,forecast_horizon_hours,target_time_mapping_method,target_time_is_exact,mapping_offset_seconds,station_values_target_time,station_value_source,station_values_used,predicted_pm25,spatial_method,spatial_power,nearest_station_id,nearest_station_distance_km,second_nearest_station_distance_km,contributing_station_count,maximum_idw_weight,idw_weight_concentration,effective_station_count,reliability_status
walking-1,242307850:0:f,1,walking,10.780842700000001,106.66004285,"[[10.7802867,106.6595074],[10.7813987,106.6605783]]",122.55383185446013,2022-02-28T06:00:00,2022-02-28T06:00:00,2022-02-28T06:01:01.276915927,2022-02-28T07:00:00,2022-02-28T06:02:02.553831854,2022-02-28T06:00:00,1,ceiling_to_next_hour_no_interpolation,False,3538.723084,2022-02-28T07:00:00,oracle_observed,"{""1"":25.08333333,""2"":50.37666667,""3"":52.32333333,""4"":35.202,""5"":13.78333333,""6"":33.305}",33.258038435330874,idw,1.0,6,0.07606002512771362,3.073606695230781,6,0.939752963555569,0.8840584254440285,1.131146959543696,supported
walking-1,242307850:1:f,2,walking,10.781085050000002,106.66065485,"[[10.7813987,106.6605783],[10.7807714,106.6607314]]",51.64518500951226,2022-02-28T06:00:00,2022-02-28T06:02:02.553831854,2022-02-28T06:02:28.376424359,2022-02-28T07:00:00,2022-02-28T06:02:54.199016864,2022-02-28T06:00:00,1,ceiling_to_next_hour_no_interpolation,False,3451.623575,2022-02-28T07:00:00,oracle_observed,"{""1"":25.08333333,""2"":50.37666667,""3"":52.32333333,""4"":35.202,""5"":13.78333333,""6"":33.305}",33.196143939341084,idw,1.0,6,0.1474685715736376,3.0122339605116593,6,0.8887850754056424,0.7931093151585986,1.2608602381627927,supported
walking-1,1277704606:0:r,3,walking,10.7809155,106.66111355000001,"[[10.7807714,106.6607314],[10.7810596,106.6614957]]",64.38646018927858,2022-02-28T06:00:00,2022-02-28T06:02:54.199016864,2022-02-28T06:03:26.392246959,2022-02-28T07:00:00,2022-02-28T06:03:58.585477053,2022-02-28T06:00:00,1,ceiling_to_next_hour_no_interpolation,False,3393.607753,2022-02-28T07:00:00,oracle_observed,"{""1"":25.08333333,""2"":50.37666667,""3"":52.32333333,""4"":35.202,""5"":13.78333333,""6"":33.305}",33.14626218818865,idw,1.0,6,0.18746480435941523,2.9596277418385912,6,0.8621173798390558,0.7481576547012949,1.3366166792736407,supported
walking-1,327048054:17:f,121,walking,10.77729705,106.687896,"[[10.7774802,106.6876976],[10.7771139,106.6880944]]",42.82452663182037,2022-02-28T06:00:00,2022-02-28T06:45:52.506048825,2022-02-28T06:46:13.918312141,2022-02-28T07:00:00,2022-02-28T06:46:35.330575457,2022-02-28T06:00:00,1,ceiling_to_next_hour_no_interpolation,False,826.081687,2022-02-28T07:00:00,oracle_observed,"{""1"":25.08333333,""2"":50.37666667,""3"":52.32333333,""4"":35.202,""5"":13.78333333,""6"":33.305}",15.669956554631236,idw,1.0,5,0.10394617073309052,3.126376447106535,6,0.9230736716461346,0.8536113497045941,1.1714933269643921,supported
motorbike-1,242307850:0:f,1,motorbike,10.780842700000001,106.66004285,"[[10.7802867,106.6595074],[10.7813987,106.6605783]]",24.510766370892025,2022-02-28T06:00:00,2022-02-28T06:00:00,2022-02-28T06:00:12.255383185,2022-02-28T07:00:00,2022-02-28T06:00:24.510766371,2022-02-28T06:00:00,1,ceiling_to_next_hour_no_interpolation,False,3587.744616,2022-02-28T07:00:00,oracle_observed,"{""1"":25.08333333,""2"":50.37666667,""3"":52.32333333,""4"":35.202,""5"":13.78333333,""6"":33.305}",33.258038435330874,idw,1.0,6,0.07606002512771362,3.073606695230781,6,0.939752963555569,0.8840584254440285,1.131146959543696,supported
motorbike-1,242307850:1:f,2,motorbike,10.781085050000002,106.66065485,"[[10.7813987,106.6605783],[10.7807714,106.6607314]]",10.329037001902451,2022-02-28T06:00:00,2022-02-28T06:00:24.510766371,2022-02-28T06:00:29.675284872,2022-02-28T07:00:00,2022-02-28T06:00:34.839803373,2022-02-28T06:00:00,1,ceiling_to_next_hour_no_interpolation,False,3570.324715,2022-02-28T07:00:00,oracle_observed,"{""1"":25.08333333,""2"":50.37666667,""3"":52.32333333,""4"":35.202,""5"":13.78333333,""6"":33.305}",33.196143939341084,idw,1.0,6,0.1474685715736376,3.0122339605116593,6,0.8887850754056424,0.7931093151585986,1.2608602381627927,supported
motorbike-1,1277704606:0:r,3,motorbike,10.7809155,106.66111355000001,"[[10.7807714,106.6607314],[10.7810596,106.6614957]]",12.877292037855717,2022-02-28T06:00:00,2022-02-28T06:00:34.839803373,2022-02-28T06:00:41.278449392,2022-02-28T07:00:00,2022-02-28T06:00:47.717095411,2022-02-28T06:00:00,1,ceiling_to_next_hour_no_interpolation,False,3558.72155,2022-02-28T07:00:00,oracle_observed,"{""1"":25.08333333,""2"":50.37666667,""3"":52.32333333,""4"":35.202,""5"":13.78333333,""6"":33.305}",33.14626218818865,idw,1.0,6,0.18746480435941523,2.9596277418385912,6,0.8621173798390558,0.7481576547012949,1.3366166792736407,supported
motorbike-1,327048054:17:f,133,motorbike,10.77729705,106.687896,"[[10.7774802,106.6876976],[10.7771139,106.6880944]]",8.564905326364073,2022-02-28T06:00:00,2022-02-28T06:09:08.617073944,2022-02-28T06:09:12.899526607,2022-02-28T07:00:00,2022-02-28T06:09:17.181979270,2022-02-28T06:00:00,1,ceiling_to_next_hour_no_interpolation,False,3047.100473,2022-02-28T07:00:00,oracle_observed,"{""1"":25.08333333,""2"":50.37666667,""3"":52.32333333,""4"":35.202,""5"":13.78333333,""6"":33.305}",15.669956554631236,idw,1.0,5,0.10394617073309052,3.126376447106535,6,0.9230736716461346,0.8536113497045941,1.1714933269643921,supported
walking-1,242307850:0:f,1,walking,10.780842700000001,106.66004285,"[[10.7802867,106.6595074],[10.7813987,106.6605783]]",122.55383185446013,2022-02-28T06:00:00,2022-02-28T06:00:00,2022-02-28T06:01:01.276915927,2022-02-28T07:00:00,2022-02-28T06:02:02.553831854,2022-02-28T06:00:00,1,ceiling_to_next_hour_no_interpolation,False,3538.723084,2022-02-28T07:00:00,deployment_forecast,"{""1"":22.305646896362305,""2"":21.521059036254883,""3"":34.6705436706543,""4"":31.02470588684082,""5"":14.713329315185547,""6"":25.228315353393555}",25.102569564032116,idw,1.0,6,0.07606002512771362,3.073606695230781,6,0.939752963555569,0.8840584254440285,1.131146959543696,supported
walking-1,242307850:1:f,2,walking,10.781085050000002,106.66065485,"[[10.7813987,106.6605783],[10.7807714,106.6607314]]",51.64518500951226,2022-02-28T06:00:00,2022-02-28T06:02:02.553831854,2022-02-28T06:02:28.376424359,2022-02-28T07:00:00,2022-02-28T06:02:54.199016864,2022-02-28T06:00:00,1,ceiling_to_next_hour_no_interpolation,False,3451.623575,2022-02-28T07:00:00,deployment_forecast,"{""1"":22.305646896362305,""2"":21.521059036254883,""3"":34.6705436706543,""4"":31.02470588684082,""5"":14.713329315185547,""6"":25.228315353393555}",24.989150540691487,idw,1.0,6,0.1474685715736376,3.0122339605116593,6,0.8887850754056424,0.7931093151585986,1.2608602381627927,supported
walking-1,1277704606:0:r,3,walking,10.7809155,106.66111355000001,"[[10.7807714,106.6607314],[10.7810596,106.6614957]]",64.38646018927858,2022-02-28T06:00:00,2022-02-28T06:02:54.199016864,2022-02-28T06:03:26.392246959,2022-02-28T07:00:00,2022-02-28T06:03:58.585477053,2022-02-28T06:00:00,1,ceiling_to_next_hour_no_interpolation,False,3393.607753,2022-02-28T07:00:00,deployment_forecast,"{""1"":22.305646896362305,""2"":21.521059036254883,""3"":34.6705436706543,""4"":31.02470588684082,""5"":14.713329315185547,""6"":25.228315353393555}",24.922050014659487,idw,1.0,6,0.18746480435941523,2.9596277418385912,6,0.8621173798390558,0.7481576547012949,1.3366166792736407,supported
walking-1,327048054:17:f,121,walking,10.77729705,106.687896,"[[10.7774802,106.6876976],[10.7771139,106.6880944]]",42.82452663182037,2022-02-28T06:00:00,2022-02-28T06:45:52.506048825,2022-02-28T06:46:13.918312141,2022-02-28T07:00:00,2022-02-28T06:46:35.330575457,2022-02-28T06:00:00,1,ceiling_to_next_hour_no_interpolation,False,826.081687,2022-02-28T07:00:00,deployment_forecast,"{""1"":22.305646896362305,""2"":21.521059036254883,""3"":34.6705436706543,""4"":31.02470588684082,""5"":14.713329315185547,""6"":25.228315353393555}",15.673202097949801,idw,1.0,5,0.10394617073309052,3.126376447106535,6,0.9230736716461346,0.8536113497045941,1.1714933269643921,supported
